type,title,director_cleaned,cast_cleaned,country_cleaned,release_year,rating,date_added,duration,listed_in,Data_Quality_Notes
TV Show,Raja Rasoi Aur Anya Kahaniyan,,,India,2014,TV-G,30-11-2021,1 Season,"Docuseries, International TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Saved by the Bell,,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,1994,TV-PG,01-12-2021,9 Seasons,"Kids' TV, TV Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,,2021,TV-14,02-12-2021,113 min,"Documentaries, International Movies, Sports Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Stories by Rabindranath Tagore,,,India,2015,TV-PG,03-12-2021,1 Season,"International TV Shows, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Too Hot To Handle: Latino,,Itatí Cantoral,,2021,TV-MA,04-12-2021,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",,2021,TV-Y,05-12-2021,13 min,Children & Family Movies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Jack Whitehall: Travels with My Father,,"Jack Whitehall, Michael Whitehall",United Kingdom,2021,TV-MA,06-12-2021,5 Seasons,"British TV Shows, Docuseries, International TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2018,TV-MA,07-12-2021,182 min,"Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The World's Most Amazing Vacation Rentals,,,,2021,TV-PG,08-12-2021,2 Seasons,Reality TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",,2021,TV-G,09-12-2021,106 min,Children & Family Movies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Yowamushi Pedal,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,2013,TV-14,10-12-2021,1 Season,"Anime Series, International TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",,2021,TV-Y7,11-12-2021,48 min,"Children & Family Movies, Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",,2020,TV-14,12-12-2021,145 min,"Comedies, Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",,2021,TV-14,13-12-2021,145 min,"Comedies, Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",,2021,TV-Y7,14-12-2021,93 min,Children & Family Movies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,2021,R,15-12-2021,106 min,Action & Adventure,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Lucifer,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,2021,TV-14,16-12-2021,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Metal Shop Masters,,Jo Koy,,2021,TV-MA,17-12-2021,1 Season,Reality TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,2020,TV-MA,18-12-2021,147 min,"Action & Adventure, Comedies, Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Pokémon Master Journeys: The Series,,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",,2021,TV-Y7,19-12-2021,1 Season,"Anime Series, Kids' TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,2021,TV-MA,20-12-2021,87 min,"International Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Titipo Titipo,,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",,2019,TV-Y,21-12-2021,2 Seasons,"Kids' TV, Korean TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",,2021,PG-13,22-12-2021,96 min,"Documentaries, Sports Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Mighty Raju,,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",,2017,TV-Y7,23-12-2021,4 Seasons,Kids' TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States",2019,TV-MA,24-12-2021,95 min,"Sci-Fi & Fantasy, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,France,2021,TV-14,25-12-2021,92 min,"Documentaries, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Into the Night,,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,2021,TV-MA,26-12-2021,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",,2021,TV-MA,27-12-2021,91 min,"Dramas, International Movies, Romantic Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States",2018,PG,28-12-2021,90 min,"Children & Family Movies, Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Circle,,Michelle Buteau,"United States, United Kingdom",2021,TV-MA,29-12-2021,3 Seasons,Reality TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,2018,TV-MA,30-12-2021,97 min,"Documentaries, Music & Musicals",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Kid Cosmic,,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,2021,TV-Y7,31-12-2021,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Octonauts: Above & Beyond,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,2021,TV-Y,01-01-2022,1 Season,"British TV Shows, Kids' TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,On the Verge,,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",2021,TV-MA,02-01-2022,1 Season,"TV Comedies, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
